src,dst,count
userId_20536,userId_22330,5
userId_29720,userId_22330,2
userId_16547,userId_22330,1
userId_11708,userId_22330,3
userId_28109,userId_22330,1
userId_25615,userId_22330,5
userId_5959,userId_22330,1
userId_23955,userId_22330,1
userId_15516,userId_22330,3
userId_33983,userId_22330,1
userId_7002,userId_22330,6
userId_32166,userId_22330,3
userId_7073,userId_22330,1
userId_38731,userId_22330,10
userId_25521,userId_22330,1
userId_33083,userId_22330,1
userId_24489,userId_22330,1
userId_9179,userId_22330,1
userId_8330,userId_22330,7
userId_23724,userId_22330,9
userId_20502,userId_22330,1
userId_18875,userId_22330,3
userId_8318,userId_22330,1
userId_19998,userId_22330,1
userId_15897,userId_22330,1
userId_8944,userId_22330,1
userId_6517,userId_22330,1
userId_14049,userId_22330,8
userId_19567,userId_22330,2
userId_12215,userId_22330,1
userId_34819,userId_22330,623
userId_39085,userId_22330,1
userId_17913,userId_22330,10
userId_23881,userId_22330,1
userId_25552,userId_22330,1
userId_23010,userId_22330,5
userId_10817,userId_22330,1
userId_15354,userId_22330,8
userId_7394,userId_22330,7
userId_19426,userId_22330,2
userId_39378,userId_22330,1
userId_16068,userId_22330,1
userId_18275,userId_22330,10
userId_35215,userId_22330,1
userId_8537,userId_22330,1
userId_35242,userId_22330,1
userId_38449,userId_22330,3
userId_24996,userId_22330,1
userId_2543,userId_22330,10
userId_38775,userId_22330,3
userId_14225,userId_22330,11
userId_29964,userId_22330,1
userId_7229,userId_22330,1
userId_1830,userId_22330,3
userId_6682,userId_22330,2
userId_27793,userId_22330,2
userId_29095,userId_22330,1
userId_6136,userId_22330,2
userId_37266,userId_22330,1
userId_36706,userId_22330,1
userId_6510,userId_22330,1
userId_6721,userId_22330,10
userId_26855,userId_22330,1
userId_26769,userId_22330,1
userId_109,userId_22330,3
userId_14240,userId_22330,2
userId_7507,userId_22330,1
userId_6717,userId_22330,1
userId_38179,userId_22330,11
userId_25381,userId_22330,1
userId_5570,userId_22330,3
userId_6257,userId_22330,1
userId_7872,userId_22330,1
userId_7635,userId_22330,2
userId_27997,userId_22330,10
userId_20374,userId_22330,1
userId_32756,userId_22330,8
userId_14539,userId_22330,2
userId_20860,userId_22330,4
userId_31857,userId_22330,1
userId_2302,userId_22330,3
userId_4736,userId_22330,2
userId_37060,userId_22330,1
userId_17821,userId_22330,1
userId_7842,userId_22330,2
userId_4980,userId_22330,1
userId_22399,userId_22330,3
userId_32457,userId_22330,1
userId_38401,userId_22330,1
userId_24151,userId_22330,1
userId_37714,userId_22330,1
userId_5726,userId_22330,1
userId_18441,userId_22330,7
userId_33610,userId_22330,3
userId_36075,userId_22330,4
userId_7772,userId_22330,2
userId_39301,userId_22330,3
userId_5479,userId_22330,1
userId_18024,userId_22330,1
userId_35277,userId_22330,1
userId_13612,userId_22330,161
userId_3781,userId_22330,6
userId_37493,userId_22330,7
userId_9383,userId_22330,8
userId_22968,userId_22330,2
userId_15587,userId_22330,3
userId_25609,userId_22330,1
userId_17729,userId_22330,1
userId_12336,userId_22330,2
userId_23743,userId_22330,2
userId_14109,userId_22330,14
userId_8998,userId_22330,1
userId_22466,userId_22330,1
userId_15947,userId_22330,10
userId_14149,userId_22330,2
userId_4217,userId_22330,1
userId_9754,userId_22330,10
userId_31303,userId_22330,1
userId_7278,userId_22330,1
userId_34285,userId_22330,1
userId_5960,userId_22330,1
userId_728,userId_22330,5
userId_15217,userId_22330,8
userId_7130,userId_22330,1
userId_18569,userId_22330,2
userId_6066,userId_22330,1
userId_27664,userId_22330,1
userId_5000,userId_22330,1
userId_24245,userId_22330,1
userId_20933,userId_22330,1
userId_34257,userId_22330,1
userId_23517,userId_22330,1
userId_7711,userId_22330,1
userId_12178,userId_22330,10
userId_25009,userId_22330,2
userId_5518,userId_22330,5
userId_28532,userId_22330,2
userId_38940,userId_22330,1
userId_33557,userId_22330,1
userId_29675,userId_22330,1
userId_39175,userId_22330,9
userId_3101,userId_22330,1
userId_7649,userId_22330,1
userId_34401,userId_22330,1
userId_15705,userId_22330,1
userId_36985,userId_22330,1
userId_2815,userId_22330,1
userId_34123,userId_22330,2
userId_38784,userId_22330,9
userId_31492,userId_22330,9
userId_16656,userId_22330,2
userId_7084,userId_22330,1
userId_4435,userId_22330,6
userId_17409,userId_22330,1
userId_29955,userId_22330,1
userId_37604,userId_22330,5
userId_25373,userId_22330,1
userId_19525,userId_22330,1
userId_9843,userId_22330,2
userId_10176,userId_22330,1
userId_38979,userId_22330,1
userId_5638,userId_22330,1
userId_3613,userId_22330,1
userId_9901,userId_22330,2
userId_21175,userId_22330,1
userId_17609,userId_22330,1
userId_15051,userId_22330,4
userId_24099,userId_22330,6
userId_8338,userId_22330,10
userId_27045,userId_22330,1
userId_18095,userId_22330,2
userId_11244,userId_22330,1
userId_14304,userId_22330,1
userId_750,userId_22330,2
userId_13823,userId_22330,7
userId_10039,userId_22330,2
userId_37520,userId_22330,1
userId_21924,userId_22330,1
userId_5702,userId_22330,5
userId_28486,userId_22330,1
userId_34686,userId_22330,1
userId_25755,userId_22330,1
userId_30762,userId_22330,7
userId_15007,userId_22330,1
userId_24237,userId_22330,6
userId_10792,userId_22330,2
userId_30411,userId_22330,2
userId_37290,userId_22330,1
userId_15979,userId_22330,2
userId_14611,userId_22330,1
userId_37256,userId_22330,3
userId_6871,userId_22330,36
userId_39332,userId_22330,2
userId_14773,userId_22330,1
userId_30444,userId_22330,4
userId_28610,userId_22330,1
userId_12944,userId_22330,1
userId_19747,userId_22330,1
userId_18608,userId_22330,1
userId_13384,userId_22330,17
userId_32510,userId_22330,1
userId_37227,userId_22330,1
userId_15180,userId_22330,2
userId_32124,userId_22330,10
userId_14398,userId_22330,1
userId_791,userId_22330,1
userId_15389,userId_22330,1
userId_24616,userId_22330,1
userId_21046,userId_22330,5
userId_31970,userId_22330,4
userId_3974,userId_22330,14
userId_23270,userId_22330,1
userId_10193,userId_22330,2
userId_10446,userId_22330,4
userId_15405,userId_22330,1
userId_22763,userId_22330,3
userId_12068,userId_22330,2
userId_34000,userId_22330,1
userId_26792,userId_22330,2
userId_26258,userId_22330,3
userId_19390,userId_22330,21
userId_30707,userId_22330,1
userId_36911,userId_22330,2
userId_27259,userId_22330,11
userId_22766,userId_22330,4
userId_21171,userId_22330,10
userId_15965,userId_22330,1
userId_39000,userId_22330,1
userId_7804,userId_22330,14
userId_28384,userId_22330,1
userId_12127,userId_22330,1
userId_5883,userId_22330,1
userId_7935,userId_22330,4
userId_16611,userId_22330,3
userId_30065,userId_22330,1
userId_17793,userId_22330,2
userId_3290,userId_22330,1
userId_15082,userId_22330,4
userId_15058,userId_22330,1
userId_17402,userId_22330,22
userId_19673,userId_22330,1
userId_3596,userId_22330,1
userId_20552,userId_22330,1
userId_28422,userId_22330,1
userId_23681,userId_22330,6
userId_23634,userId_22330,1
userId_36389,userId_22330,1
userId_18472,userId_22330,1
userId_38408,userId_22330,1
userId_541,userId_22330,3
userId_28868,userId_22330,5
userId_34417,userId_22330,3
userId_1251,userId_22330,1
userId_8949,userId_22330,3
userId_12868,userId_22330,2
userId_20666,userId_22330,1
userId_10688,userId_22330,1
userId_3221,userId_22330,1
userId_27181,userId_22330,6
userId_22633,userId_22330,3
userId_13386,userId_22330,1
userId_15526,userId_22330,3
userId_16240,userId_22330,1
userId_5525,userId_22330,2
userId_25374,userId_22330,7
userId_14330,userId_22330,1
userId_2846,userId_22330,1
userId_9571,userId_22330,20
userId_23018,userId_22330,11
userId_4986,userId_22330,2
userId_16903,userId_22330,1
userId_18834,userId_22330,2
